SC,count_total,count_acceptable,count_correct,count_degradee,periode
f4,2,2,1,1,46
h1,4,2,0,2,46
f3,3,3,3,0,46
f4,3,2,1,1,46
f2,2,2,2,0,47
f2,2,2,2,0,47
h1,3,1,0,1,47
h1,2,0,0,0,47
f3,2,2,2,0,47
f3,2,2,2,0,47
f4,2,2,1,1,47
f4,2,2,1,1,47
f2,2,2,0,2,47
f4,1,1,0,1,47
h1,0,0,0,0,48
h1,2,1,1,0,48
h3,2,2,2,0,48
h5,2,2,2,0,48
f2,6,6,3,3,48
h3,6,5,4,1,48
f4,6,6,5,1,48
h3,7,6,1,5,48
h4,6,5,4,1,48
h1,1,0,0,0,49
f3,2,2,2,0,49
h3,3,2,2,0,49
h5,4,4,3,1,49
f1,5,5,3,2,49
f4,1,1,1,0,50
f5,1,1,1,0,51
h5,1,1,1,0,51
h1,1,1,0,1,51
f4,0,0,0,0,51
h1,1,0,0,0,51
h4,2,2,2,0,51
h2,4,3,3,0,51
h1,4,3,3,0,51
h1,5,4,2,2,51
f1,0,0,0,0,52
f5,0,0,0,0,52
h2,1,1,1,0,52
f4,3,3,3,0,52
h1,3,1,1,0,52
h4,2,2,1,1,52
h1,3,1,0,1,52
f1,2,2,1,1,52
h5,2,2,1,1,52
f5,0,0,0,0,53
h4,0,0,0,0,53
h2,1,1,0,1,53
h2,0,0,0,0,53
h3,1,1,1,0,53
h5,3,3,3,0,53
h3,4,4,4,0,53
f2,3,3,3,0,53
f1,5,5,3,2,53
h1,4,2,1,1,53
h4,2,2,2,0,54
h3,3,2,2,0,54
h5,3,3,3,0,54
h5,3,3,2,1,54
f4,3,3,1,2,54
h5,5,5,4,1,54
f5,4,3,0,3,54
f3,4,4,2,2,54
f4,3,2,1,1,54
h3,3,2,1,1,54
h3,0,0,0,0,55
f2,0,0,0,0,55
f4,0,0,0,0,55
h5,2,2,2,0,55
h3,2,2,2,0,55
h1,4,3,2,1,55
h3,4,4,4,0,55
h3,4,4,1,3,55
f2,4,3,1,2,55
h1,0,0,0,0,56
h3,0,0,0,0,56
h1,4,2,2,0,56
h3,3,3,3,0,56
h3,5,4,3,1,56
h2,5,4,3,1,56
f5,1,1,1,0,57
f4,2,2,1,1,57
h2,3,2,0,2,57
h3,2,2,1,1,57
f4,2,2,2,0,57
h2,4,3,3,0,57
h3,4,3,2,1,57
f2,0,0,0,0,58
h3,4,3,3,0,58
f2,4,3,2,1,58
h4,5,5,4,1,58
h1,7,4,3,1,58
h1,7,4,4,0,58
f2,6,5,3,2,58
f4,0,0,0,0,59
h5,1,1,1,0,59
h5,4,4,4,0,59
f1,4,4,1,3,59
f3,3,3,3,0,59
f4,3,2,2,0,59
f5,4,3,1,2,59
h5,4,4,1,3,59
h5,1,1,1,0,60
f2,1,1,1,0,60
h2,1,0,0,0,60
f4,1,1,0,1,60
h1,1,0,0,0,60
f1,1,1,1,0,60
h5,2,2,2,0,60
h3,3,3,2,1,60
f2,3,3,1,2,60
f2,1,0,1,1
f2,1,1,0,1
f2,1,1,0,1
h1,3,0,3,1
h1,3,1,2,1
h1,3,3,0,1
h3,3,0,3,1
h3,3,1,2,1
h3,3,3,0,1
f5,2,0,2,1
f5,2,0,2,1
f5,2,2,0,1
f5,2,0,2,1
f5,2,0,2,1
f5,2,2,0,1
f4,3,0,3,1
f4,3,1,2,1
f4,3,3,0,1
f3,4,0,4,1
f3,4,2,2,1
f3,4,4,0,1
h5,4,0,4,1
h5,4,3,1,1
h5,4,4,0,1
f4,1,0,1,2
f4,1,1,0,2
f4,1,1,0,2
h3,2,0,2,2
h3,2,2,0,2
h3,2,2,0,2
f5,2,0,2,2
f5,2,2,0,2
f5,2,2,0,2
h4,4,0,4,2
h4,4,3,1,2
h4,4,4,0,2
h2,3,0,3,2
h2,3,1,2,2
h2,3,3,0,2
h3,3,0,3,2
h3,3,2,1,2
h3,3,3,0,2
h3,3,0,3,2
h3,3,2,1,2
h3,3,3,0,2
f1,3,0,3,2
f1,3,2,1,2
f1,3,3,0,2
h5,0,0,0,3
h5,0,0,0,3
h5,0,0,0,3
f5,4,0,4,3
f5,4,4,0,3
f5,4,4,0,3
h2,3,1,2,3
h2,3,3,0,3
h2,3,3,0,3
f2,5,1,4,3
f2,5,5,0,3
f2,5,5,0,3
f2,5,1,4,3
f2,5,5,0,3
f2,5,5,0,3
f3,4,0,4,3
f3,4,4,0,3
f3,4,4,0,3
h1,3,0,3,3
h1,3,3,0,3
h1,3,3,0,3
f4,4,0,4,3
f4,4,4,0,3
f4,4,4,0,3
h3,4,3,1,3
h3,4,4,0,3
h3,4,4,0,3
h1,2,1,1,4
h1,2,2,0,4
h1,2,2,0,4
h3,1,0,1,4
h3,1,1,0,4
h3,1,1,0,4
h4,1,0,1,4
h4,1,1,0,4
h4,1,1,0,4
h5,1,0,1,4
h5,1,0,1,4
h5,1,1,0,4
f2,1,0,1,4
f2,1,1,0,4
f2,1,1,0,4
h5,3,0,3,4
h5,3,2,1,4
h5,3,3,0,4
h1,4,0,4,4
h1,4,4,0,4
h1,4,4,0,4
h1,4,0,4,4
h1,4,4,0,4
h1,4,4,0,4
h5,1,0,1,5
h5,1,1,0,5
h5,1,1,0,5
h2,2,2,0,5
h2,2,2,0,5
h2,2,2,0,5
f4,2,0,2,5
f4,2,2,0,5
f4,2,2,0,5
h5,2,0,2,5
h5,2,2,0,5
h5,2,2,0,5
h4,2,1,1,5
h4,2,2,0,5
h4,2,2,0,5
h5,3,1,2,5
h5,3,3,0,5
h5,3,3,0,5
h3,5,3,2,5
h3,5,5,0,5
h3,5,5,0,5
f5,5,0,5,5
f5,5,4,1,5
f5,5,5,0,5
f3,4,1,3,5
f3,4,4,0,5
f3,4,4,0,5
h1,0,0,0,6
h1,0,0,0,6
h1,0,0,0,6
h1,3,0,3,6
h1,3,2,1,6
h1,3,3,0,6
h1,4,0,4,6
h1,4,3,1,6
h1,4,4,0,6
h2,4,1,3,6
h2,4,2,2,6
h2,4,4,0,6
f4,5,2,3,6
f4,5,4,1,6
f4,5,5,0,6
f3,6,1,5,6
f3,6,6,0,6
f3,6,6,0,6
f3,6,1,5,6
f3,6,6,0,6
f3,6,6,0,6
h3,6,2,4,6
h3,6,5,1,6
h3,6,6,0,6
h1,3,0,3,7
h1,3,1,2,7
h1,3,3,0,7
h5,3,0,3,7
h5,3,3,0,7
h5,3,3,0,7
h4,2,0,2,7
h4,2,1,1,7
h4,2,2,0,7
h5,1,0,1,7
h5,1,1,0,7
h5,1,1,0,7
f3,1,0,1,7
f3,1,1,0,7
f3,1,1,0,7
h1,1,0,1,7
h1,1,1,0,7
h1,1,1,0,7
f1,1,0,1,7
f1,1,1,0,7
f1,1,1,0,7
f1,1,0,1,7
f1,1,1,0,7
f1,1,1,0,7
h3,2,0,2,7
h3,2,1,1,7
h3,2,2,0,7
h4,3,0,3,7
h4,3,2,1,7
h4,3,3,0,7
f3,0,0,0,8
f3,0,0,0,8
f3,0,0,0,8
h4,1,0,1,8
h4,1,0,1,8
h4,1,1,0,8
f3,1,0,1,8
f3,1,1,0,8
f3,1,1,0,8
h3,1,0,1,8
h3,1,0,1,8
h3,1,1,0,8
h3,1,0,1,8
h3,1,0,1,8
h3,1,1,0,8
h1,2,0,2,8
h1,2,1,1,8
h1,2,2,0,8
h5,2,2,0,8
h5,2,2,0,8
h5,2,2,0,8
f3,3,2,1,8
f3,3,3,0,8
f3,3,3,0,8
f4,1,0,1,9
f4,1,1,0,9
f4,1,1,0,9
h5,4,2,2,9
h5,4,4,0,9
h5,4,4,0,9
h3,4,3,1,9
h3,4,4,0,9
h3,4,4,0,9
h3,5,4,1,9
h3,5,5,0,9
h3,5,5,0,9
f5,5,1,4,9
f5,5,4,1,9
f5,5,5,0,9
h3,4,3,1,9
h3,4,4,0,9
h3,4,4,0,9
h5,4,3,1,9
h5,4,4,0,9
h5,4,4,0,9
h5,4,2,2,9
h5,4,4,0,9
h5,4,4,0,9
h4,0,0,0,10
h4,0,0,0,10
h4,0,0,0,10
f4,2,1,1,10
f4,2,1,1,10
f4,2,2,0,10
f2,3,0,3,10
f2,3,3,0,10
f2,3,3,0,10
f4,3,1,2,10
f4,3,2,1,10
f4,3,3,0,10
h1,5,1,4,10
h1,5,2,3,10
h1,5,5,0,10
h2,4,3,1,10
h2,4,3,1,10
h2,4,4,0,10
f5,0,0,0,11
f5,0,0,0,11
f5,0,0,0,11
f4,1,1,0,11
f4,1,1,0,11
f4,1,1,0,11
f4,2,2,0,11
f4,2,2,0,11
f4,2,2,0,11
f4,2,2,0,11
f4,2,2,0,11
f4,2,2,0,11
h5,3,2,1,11
h5,3,3,0,11
h5,3,3,0,11
h5,4,2,2,11
h5,4,4,0,11
h5,4,4,0,11
f2,4,1,3,11
f2,4,4,0,11
f2,4,4,0,11
h3,4,3,1,11
h3,4,4,0,11
h3,4,4,0,11
h2,4,3,1,11
h2,4,3,1,11
h2,4,4,0,11
h4,6,1,5,11
h4,6,5,1,11
h4,6,6,0,11
h2,0,0,0,12
h2,0,0,0,12
h2,0,0,0,12
h1,2,0,2,12
h1,2,2,0,12
h1,2,2,0,12
f4,3,1,2,12
f4,3,2,1,12
f4,3,3,0,12
f1,3,0,3,12
f1,3,2,1,12
f1,3,3,0,12
f1,3,0,3,12
f1,3,2,1,12
f1,3,3,0,12
h3,3,1,2,12
h3,3,3,0,12
h3,3,3,0,12
f2,2,0,2,12
f2,2,2,0,12
f2,2,2,0,12
f3,2,1,1,12
f3,2,2,0,12
f3,2,2,0,12
f2,3,1,2,12
f2,3,2,1,12
f2,3,3,0,12
h4,4,0,4,12
h4,4,3,1,12
h4,4,4,0,12
h3,1,1,0,13
h3,1,1,0,13
h3,1,1,0,13
f2,0,0,0,13
f2,0,0,0,13
f2,0,0,0,13
f5,1,0,1,13
f5,1,1,0,13
f5,1,1,0,13
h2,1,1,0,13
h2,1,1,0,13
h2,1,1,0,13
f1,2,1,1,13
f1,2,1,1,13
f1,2,2,0,13
f2,1,0,1,13
f2,1,1,0,13
f2,1,1,0,13
h3,1,1,0,13
h3,1,1,0,13
h3,1,1,0,13
h3,1,1,0,13
h3,1,1,0,13
h3,1,1,0,13
f3,4,2,2,13
f3,4,4,0,13
f3,4,4,0,13
h2,5,2,3,13
h2,5,3,2,13
h2,5,5,0,13
h3,0,0,0,14
h3,0,0,0,14
h3,0,0,0,14
f1,2,1,1,14
f1,2,2,0,14
f1,2,2,0,14
f3,2,2,0,14
f3,2,2,0,14
f3,2,2,0,14
f2,4,4,0,14
f2,4,4,0,14
f2,4,4,0,14
h5,4,2,2,14
h5,4,4,0,14
h5,4,4,0,14
f3,3,2,1,14
f3,3,3,0,14
f3,3,3,0,14
f4,4,2,2,14
f4,4,4,0,14
f4,4,4,0,14
f2,5,4,1,14
f2,5,5,0,14
f2,5,5,0,14
f4,4,2,2,14
f4,4,4,0,14
f4,4,4,0,14
h4,5,1,4,14
h4,5,5,0,14
h4,5,5,0,14
h1,0,0,0,15
h1,0,0,0,15
h1,0,0,0,15
f3,0,0,0,15
f3,0,0,0,15
f3,0,0,0,15
h1,0,0,0,15
h1,0,0,0,15
h1,0,0,0,15
f4,3,1,2,15
f4,3,3,0,15
f4,3,3,0,15
f3,4,2,2,15
f3,4,4,0,15
f3,4,4,0,15
h3,4,2,2,15
h3,4,3,1,15
h3,4,4,0,15
f5,5,1,4,15
f5,5,3,2,15
f5,5,5,0,15
h4,6,2,4,15
h4,6,5,1,15
h4,6,6,0,15
f1,5,3,2,15
f1,5,4,1,15
f1,5,5,0,15
f3,1,1,0,16
f3,1,1,0,16
f3,1,1,0,16
h5,5,3,2,16
h5,5,5,0,16
h5,5,5,0,16
f2,4,3,1,16
f2,4,4,0,16
f2,4,4,0,16
h2,4,2,2,16
h2,4,3,1,16
h2,4,4,0,16
h5,5,3,2,16
h5,5,5,0,16
h5,5,5,0,16
h1,4,1,3,16
h1,4,2,2,16
h1,4,4,0,16
f2,2,2,0,17
f2,2,2,0,17
f2,2,2,0,17
h5,2,1,1,17
h5,2,2,0,17
h5,2,2,0,17
f1,3,1,2,17
f1,3,2,1,17
f1,3,3,0,17
h2,5,3,2,17
h2,5,3,2,17
h2,5,5,0,17
h1,4,0,4,17
h1,4,2,2,17
h1,4,4,0,17
f4,3,2,1,17
f4,3,3,0,17
f4,3,3,0,17
h4,1,0,1,18
h4,1,1,0,18
h4,1,1,0,18
h5,1,0,1,18
h5,1,1,0,18
h5,1,1,0,18
h1,2,0,2,18
h1,2,0,2,18
h1,2,2,0,18
f3,2,1,1,18
f3,2,2,0,18
f3,2,2,0,18
f5,1,1,0,18
f5,1,1,0,18
f5,1,1,0,18
h1,2,0,2,18
h1,2,0,2,18
h1,2,2,0,18
h3,2,1,1,18
h3,2,2,0,18
h3,2,2,0,18
f2,2,0,2,18
f2,2,2,0,18
f2,2,2,0,18
f3,3,2,1,18
f3,3,3,0,18
f3,3,3,0,18
f1,2,1,1,19
f1,2,2,0,19
f1,2,2,0,19
f1,2,1,1,19
f1,2,2,0,19
f1,2,2,0,19
f3,2,0,2,19
f3,2,2,0,19
f3,2,2,0,19
h5,5,3,2,19
h5,5,4,1,19
h5,5,4,1,19
h5,6,4,2,19
h5,6,5,1,19
h5,6,5,1,19
f2,6,4,2,19
f2,6,6,0,19
f2,6,6,0,19
f1,5,1,4,19
f1,5,4,1,19
f1,5,5,0,19
f5,3,1,2,20
f5,3,3,0,20
f5,3,3,0,20
f4,3,2,1,20
f4,3,3,0,20
f4,3,3,0,20
f2,3,2,1,20
f2,3,3,0,20
f2,3,3,0,20
f4,3,2,1,20
f4,3,3,0,20
f4,3,3,0,20
f5,3,1,2,20
f5,3,3,0,20
f5,3,3,0,20
h1,5,0,5,20
h1,5,2,3,20
h1,5,5,0,20
h1,5,0,5,20
h1,5,2,3,20
h1,5,5,0,20
h1,5,0,5,20
h1,5,2,3,20
h1,5,5,0,20
f2,5,3,2,21
f2,5,5,0,21
f2,5,5,0,21
h3,5,3,2,21
h3,5,4,1,21
h3,5,5,0,21
f1,5,2,3,21
f1,5,4,1,21
f1,5,5,0,21
h3,5,3,2,21
h3,5,4,1,21
h3,5,5,0,21
h1,4,0,4,21
h1,4,1,3,21
h1,4,4,0,21
f3,5,2,3,21
f3,5,5,0,21
f3,5,5,0,21
h2,5,2,3,21
h2,5,4,1,21
h2,5,5,0,21
h1,5,0,5,21
h1,5,1,4,21
h1,5,5,0,21
h2,0,0,0,22
h2,0,0,0,22
h2,0,0,0,22
h2,2,1,1,22
h2,2,1,1,22
h2,2,2,0,22
f2,3,1,2,22
f2,3,3,0,22
f2,3,3,0,22
f5,4,1,3,22
f5,4,3,1,22
f5,4,4,0,22
h3,3,2,1,22
h3,3,3,0,22
h3,3,3,0,22
f4,3,3,0,22
f4,3,3,0,22
f4,3,3,0,22
f4,3,3,0,22
f4,3,3,0,22
f4,3,3,0,22
f3,3,2,1,22
f3,3,3,0,22
f3,3,3,0,22
h1,4,0,4,22
h1,4,0,4,22
h1,4,4,0,22
f4,3,3,0,22
f4,3,3,0,22
f4,3,3,0,22
h5,0,0,0,23
h5,0,0,0,23
h5,0,0,0,23
h4,0,0,0,23
h4,0,0,0,23
h4,0,0,0,23
f4,0,0,0,23
f4,0,0,0,23
f4,0,0,0,23
h5,1,1,0,23
h5,1,1,0,23
h5,1,1,0,23
h1,4,0,4,23
h1,4,1,3,23
h1,4,4,0,23
h5,4,2,2,23
h5,4,4,0,23
h5,4,4,0,23
f4,5,3,2,23
f4,5,4,1,23
f4,5,5,0,23
f3,5,2,3,23
f3,5,5,0,23
f3,5,5,0,23
f4,5,3,2,23
f4,5,4,1,23
f4,5,5,0,23
h2,1,1,0,24
h2,1,1,0,24
h2,1,1,0,24
f3,1,0,1,24
f3,1,1,0,24
f3,1,1,0,24
f4,3,2,1,24
f4,3,2,1,24
f4,3,3,0,24
h2,3,3,0,24
h2,3,3,0,24
h2,3,3,0,24
h3,4,3,1,24
h3,4,4,0,24
h3,4,4,0,24
h5,3,1,2,24
h5,3,3,0,24
h5,3,3,0,24
f1,1,0,1,25
f1,1,0,1,25
f1,1,1,0,25
h2,1,1,0,25
h2,1,1,0,25
h2,1,1,0,25
h4,0,0,0,25
h4,0,0,0,25
h4,0,0,0,25
h3,2,2,0,25
h3,2,2,0,25
h3,2,2,0,25
h5,6,3,3,25
h5,6,6,0,25
h5,6,6,0,25
h4,5,2,3,25
h4,5,4,1,25
h4,5,5,0,25
h1,5,1,4,25
h1,5,2,3,25
h1,5,5,0,25
f4,5,3,2,26
f4,5,5,0,26
f4,5,5,0,26
h5,5,2,3,26
h5,5,4,1,26
h5,5,4,1,26
h3,4,4,0,26
h3,4,4,0,26
h3,4,4,0,26
h1,5,2,3,26
h1,5,2,3,26
h1,5,5,0,26
h2,6,3,3,26
h2,6,6,0,26
h2,6,6,0,26
h1,5,2,3,26
h1,5,2,3,26
h1,5,5,0,26
h5,1,1,0,27
h5,1,1,0,27
h5,1,1,0,27
h5,1,1,0,27
h5,1,1,0,27
h5,1,1,0,27
f2,1,0,1,27
f2,1,1,0,27
f2,1,1,0,27
f1,1,1,0,27
f1,1,1,0,27
f1,1,1,0,27
h3,0,0,0,27
h3,0,0,0,27
h3,0,0,0,27
f4,0,0,0,27
f4,0,0,0,27
f4,0,0,0,27
h1,2,0,2,27
h1,2,0,2,27
h1,2,2,0,27
f1,3,1,2,27
f1,3,2,1,27
f1,3,3,0,27
f5,4,1,3,27
