Label,NodeID,Value,Timestamp,packet_size
1,s4_f2,0,13966,128
1,s2_h3,0,13966,128
1,s3_h3,0,13966,128
1,s4_h3,0,13966,128
1,s1_f3,0,13966,128
1,s2_f3,0,13966,128
1,s3_f3,0,13966,128
1,s4_f3,0,13966,128
1,s1_h4,0,13966,128
1,s2_h4,0,13966,128
1,s3_h4,0,13966,128
1,s4_h4,0,13966,128
1,s2_f4,0,13966,128
1,s3_f4,0,13966,128
1,s4_f4,0,13966,128
1,s1_h5,0,13966,128
1,s2_h5,0,13966,128
1,s3_h5,0,13966,128
0,s4_h5,87,13966,128
1,s1_f5,0,13966,128
1,s2_f5,0,13966,128
1,s3_f5,0,13966,128
1,s4_f5,0,13966,128
1,s1_h1,96,13966,128
1,s1_h3,0,13966,128
1,s1_f4,0,13966,128
1,s2_h1,97,13967,128
1,s3_h1,96,13967,128
1,s4_h1,96,13967,128
1,s1_f1,0,13967,128
1,s2_f1,0,13967,128
1,s3_f1,0,13967,128
1,s4_f1,0,13967,128
1,s1_h2,0,13967,128
1,s2_h2,0,13967,128
1,s3_h2,0,13967,128
1,s4_h2,0,13967,128
1,s1_f2,0,13967,128
1,s2_f2,0,13967,128
1,s3_f2,0,13967,128
1,s4_f2,0,13967,128
1,s2_h3,0,13967,128
1,s3_h3,0,13967,128
1,s4_h3,0,13967,128
1,s1_f3,0,13967,128
1,s2_f3,0,13967,128
1,s3_f3,0,13967,128
1,s4_f3,0,13967,128
1,s1_h4,0,13967,128
1,s2_h4,0,13967,128
1,s3_h4,0,13967,128
1,s4_h4,0,13967,128
1,s2_f4,0,13967,128
1,s3_f4,0,13967,128
1,s4_f4,0,13967,128
1,s1_h5,0,13967,128
1,s2_h5,0,13967,128
1,s3_h5,0,13967,128
0,s4_h5,97,13967,128
1,s1_f5,0,13967,128
1,s2_f5,0,13967,128
1,s3_f5,0,13967,128
1,s4_f5,0,13967,128
1,s1_h1,96,13967,128
1,s1_h3,0,13967,128
1,s1_f4,0,13967,128
1,s2_h1,97,13968,128
1,s3_h1,96,13968,128
1,s4_h1,96,13968,128
1,s1_f1,0,13968,128
1,s2_f1,0,13968,128
1,s3_f1,0,13968,128
1,s4_f1,0,13968,128
1,s1_h2,0,13968,128
1,s2_h2,0,13968,128
1,s3_h2,0,13968,128
1,s4_h2,0,13968,128
1,s1_f2,0,13968,128
1,s2_f2,0,13968,128
1,s3_f2,0,13968,128
1,s4_f2,0,13968,128
1,s2_h3,0,13968,128
1,s3_h3,0,13968,128
1,s4_h3,0,13968,128
1,s1_f3,0,13968,128
1,s2_f3,0,13968,128
1,s3_f3,0,13968,128
1,s4_f3,0,13968,128
1,s1_h4,0,13968,128
1,s2_h4,0,13968,128
1,s3_h4,0,13968,128
1,s4_h4,0,13968,128
1,s2_f4,0,13968,128
1,s3_f4,0,13968,128
1,s4_f4,0,13968,128
1,s1_h5,0,13968,128
1,s2_h5,0,13968,128
1,s3_h5,0,13968,128
0,s4_h5,97,13968,128
1,s1_f5,0,13968,128
1,s2_f5,0,13968,128
1,s3_f5,0,13968,128
1,s4_f5,0,13968,128
1,s1_h1,96,13968,128
1,s1_h3,0,13968,128
1,s1_f4,0,13968,128
1,s2_h1,97,13969,128
1,s3_h1,96,13969,128
1,s4_h1,96,13969,128
1,s1_f1,0,13969,128
1,s2_f1,0,13969,128
1,s3_f1,0,13969,128
1,s4_f1,0,13969,128
1,s1_h2,0,13969,128
1,s2_h2,0,13969,128
1,s3_h2,0,13969,128
1,s4_h2,0,13969,128
1,s1_f2,0,13969,128
1,s2_f2,0,13969,128
1,s3_f2,0,13969,128
1,s4_f2,0,13969,128
1,s2_h3,0,13969,128
1,s3_h3,0,13969,128
1,s4_h3,0,13969,128
1,s1_f3,0,13969,128
1,s2_f3,0,13969,128
1,s3_f3,0,13969,128
1,s4_f3,0,13969,128
1,s1_h4,0,13969,128
1,s2_h4,0,13969,128
1,s3_h4,0,13969,128
1,s4_h4,0,13969,128
1,s2_f4,0,13969,128
1,s3_f4,0,13969,128
1,s4_f4,0,13969,128
