NodeID,Timestamp,Value
s3_f4,5320,1
s4_f4,5320,1
s1_h5,5320,1
s2_h5,5320,1
s3_h5,5320,1
s4_h5,5320,1
s1_f5,5320,1
s2_f5,5320,1
s3_f5,5320,1
s4_f5,5320,1
s1_h1,5460,36
s2_h1,5460,37
s3_h1,5460,36
s4_h1,5460,36
s1_f1,5460,1
s2_f1,5460,1
s3_f1,5460,1
s4_f1,5460,1
s1_h2,5460,1
s2_h2,5460,1
s3_h2,5460,1
s4_h2,5460,1
s1_f2,5460,1
s2_f2,5460,1
s3_f2,5460,1
s4_f2,5460,1
s1_h3,5460,1
s2_h3,5460,1
s3_h3,5460,1
s4_h3,5460,1
s1_f3,5460,1
s2_f3,5460,1
s3_f3,5460,1
s4_f3,5460,1
s1_h4,5460,2
s2_h4,5460,2
s3_h4,5460,2
s4_h4,5460,2
s1_f4,5460,1
s2_f4,5460,1
s3_f4,5460,1
s4_f4,5460,1
s1_h5,5460,2
s2_h5,5460,2
s3_h5,5460,2
s4_h5,5460,2
s1_f5,5460,1
s2_f5,5460,1
s3_f5,5460,1
s4_f5,5460,1
s1_h1,5600,37
s2_h1,5600,38
s3_h1,5600,37
s4_h1,5600,37
s1_f1,5600,1
s2_f1,5600,1
s3_f1,5600,1
s4_f1,5600,1
s1_h2,5600,1
s2_h2,5600,1
s3_h2,5600,1
s4_h2,5600,1
s1_f2,5600,1
s2_f2,5600,1
s3_f2,5600,1
s4_f2,5600,1
s1_h3,5600,1
s2_h3,5600,1
s3_h3,5600,1
s4_h3,5600,1
s1_f3,5600,1
s2_f3,5600,1
s3_f3,5600,1
s4_f3,5600,1
s1_h4,5600,1
s2_h4,5600,1
s3_h4,5600,1
s4_h4,5600,1
s1_f4,5600,1
s2_f4,5600,1
s3_f4,5600,1
s4_f4,5600,1
s1_h5,5600,1
s2_h5,5600,1
s3_h5,5600,1
s4_h5,5600,1
s1_f5,5600,1
s2_f5,5600,1
s3_f5,5600,1
s4_f5,5600,1
s1_h1,5740,38
s2_h1,5740,39
s3_h1,5740,38
s4_h1,5740,38
s1_f1,5740,1
s2_f1,5740,1
s3_f1,5740,1
s4_f1,5740,1
s1_h2,5740,1
s2_h2,5740,1
s3_h2,5740,1
s4_h2,5740,1
s1_f2,5740,1
s2_f2,5740,1
s3_f2,5740,1
s4_f2,5740,1
s1_h3,5740,1
s2_h3,5740,1
s3_h3,5740,1
s4_h3,5740,1
s1_f3,5740,1
s2_f3,5740,1
s3_f3,5740,1
s4_f3,5740,1
s1_h4,5740,1
s2_h4,5740,1
s3_h4,5740,1
s4_h4,5740,1
s1_f4,5740,1
s2_f4,5740,1
s3_f4,5740,1
s4_f4,5740,1
s1_h5,5740,1
s2_h5,5740,1
s3_h5,5740,1
s4_h5,5740,1
s1_f5,5740,1
s2_f5,5740,1
s3_f5,5740,1
s4_f5,5740,1
s1_h1,5880,39
s2_h1,5880,40
s3_h1,5880,39
s4_h1,5880,39
s1_f1,5880,1
s2_f1,5880,1
s3_f1,5880,1
s4_f1,5880,1
s1_h2,5880,1
s2_h2,5880,1
s3_h2,5880,1
s4_h2,5880,1
s1_f2,5880,1
s2_f2,5880,1
s3_f2,5880,1
s4_f2,5880,1
s1_h3,5880,1
s2_h3,5880,1
s3_h3,5880,1
s4_h3,5880,1
s1_f3,5880,1
s2_f3,5880,1
s3_f3,5880,1
s4_f3,5880,1
s1_h4,5880,1
s2_h4,5880,1
s3_h4,5880,1
s4_h4,5880,1
s1_f4,5880,1
s2_f4,5880,1
s3_f4,5880,1
s4_f4,5880,1
s1_h5,5880,1
s2_h5,5880,1
s3_h5,5880,1
s4_h5,5880,1
s1_f5,5880,1
s2_f5,5880,1
s3_f5,5880,1
s4_f5,5880,1
s1_h1,6020,40
s2_h1,6020,41
s3_h1,6020,40
s4_h1,6020,40
s1_f1,6020,1
s2_f1,6020,1
s3_f1,6020,1
s4_f1,6020,1
s1_h2,6020,1
s2_h2,6020,1
s3_h2,6020,1
s4_h2,6020,1
s1_f2,6020,1
s2_f2,6020,1
s3_f2,6020,1
s4_f2,6020,1
s1_h3,6020,1
s2_h3,6020,1
s3_h3,6020,1
s4_h3,6020,1
s1_f3,6020,1
s2_f3,6020,1
s3_f3,6020,1
s4_f3,6020,1
s1_h4,6020,1
s2_h4,6020,1
s3_h4,6020,1
s4_h4,6020,1
s1_f4,6020,1
s2_f4,6020,1
s3_f4,6020,1
s4_f4,6020,1
s1_h5,6020,1
s2_h5,6020,1
s3_h5,6020,1
s4_h5,6020,1
s1_f5,6020,1
s2_f5,6020,1
s3_f5,6020,1
s4_f5,6020,1
s1_h1,6160,41
s2_h1,6160,42
s3_h1,6160,41
s4_h1,6160,41
s1_f1,6160,1
s2_f1,6160,1
s3_f1,6160,1
s4_f1,6160,1
s1_h2,6160,1
s2_h2,6160,1
s3_h2,6160,1
s4_h2,6160,1
s1_f2,6160,1
s2_f2,6160,1
s3_f2,6160,1
s4_f2,6160,1
s1_h3,6160,1
s2_h3,6160,1
s3_h3,6160,1
s4_h3,6160,1
s1_f3,6160,1
s2_f3,6160,1
s3_f3,6160,1
s4_f3,6160,1
s1_h4,6160,1
s2_h4,6160,1
s3_h4,6160,1
s4_h4,6160,1
s1_f4,6160,1
s2_f4,6160,1
s3_f4,6160,1
s4_f4,6160,1
s1_h5,6160,1
s2_h5,6160,1
s3_h5,6160,1
s4_h5,6160,1
s1_f5,6160,1
s2_f5,6160,1
s3_f5,6160,1
s4_f5,6160,1
s1_h1,6300,42
s2_h1,6300,43
s3_h1,6300,42
s4_h1,6300,42
s1_f1,6300,1
s2_f1,6300,1
s3_f1,6300,1
s4_f1,6300,1
s1_h2,6300,1
s2_h2,6300,1
s3_h2,6300,1
s4_h2,6300,1
s1_f2,6300,1
s2_f2,6300,1
s3_f2,6300,1
s4_f2,6300,1
s1_h3,6300,1
s2_h3,6300,1
s3_h3,6300,1
s4_h3,6300,1
s1_f3,6300,1
s2_f3,6300,1
s3_f3,6300,1
s4_f3,6300,1
s1_h4,6300,1
s2_h4,6300,1
s3_h4,6300,1
s4_h4,6300,1
s1_f4,6300,1
s2_f4,6300,1
s3_f4,6300,1
s4_f4,6300,1
s1_h5,6300,2
s2_h5,6300,2
s3_h5,6300,2
s4_h5,6300,2
s1_f5,6300,1
s2_f5,6300,1
s3_f5,6300,1
s4_f5,6300,1
s1_h1,6440,43
s2_h1,6440,44
s3_h1,6440,43
s4_h1,6440,43
s1_f1,6440,1
s2_f1,6440,1
s3_f1,6440,1
s4_f1,6440,1
s1_h2,6440,1
s2_h2,6440,1
s3_h2,6440,1
s4_h2,6440,1
s1_f2,6440,1
s2_f2,6440,1
s3_f2,6440,1
s4_f2,6440,1
s1_h3,6440,1
s2_h3,6440,1
s3_h3,6440,1
s4_h3,6440,1
s1_f3,6440,1
s2_f3,6440,1
s3_f3,6440,1
s4_f3,6440,1
s1_h4,6440,1
s2_h4,6440,1
s3_h4,6440,1
s4_h4,6440,1
s1_f4,6440,1
s2_f4,6440,1
s3_f4,6440,1
s4_f4,6440,1
s1_h5,6440,1
s2_h5,6440,1
s3_h5,6440,1
s4_h5,6440,1
s1_f5,6440,1
s2_f5,6440,1
s3_f5,6440,1
s4_f5,6440,1
s1_h1,6580,44
s2_h1,6580,45
s3_h1,6580,44
s4_h1,6580,44
s1_f1,6580,1
s2_f1,6580,1
s3_f1,6580,1
s4_f1,6580,1
s1_h2,6580,1
s2_h2,6580,1
s3_h2,6580,1
s4_h2,6580,1
s1_f2,6580,1
s2_f2,6580,1
s3_f2,6580,1
s4_f2,6580,1
s1_h3,6580,1
s2_h3,6580,1
s3_h3,6580,1
s4_h3,6580,1
s1_f3,6580,1
s2_f3,6580,1
s3_f3,6580,1
s4_f3,6580,1
s1_h4,6580,1
s2_h4,6580,1
s3_h4,6580,1
s4_h4,6580,1
s1_f4,6580,1
s2_f4,6580,1
s3_f4,6580,1
s4_f4,6580,1
s1_h5,6580,1
s2_h5,6580,1
s3_h5,6580,1
s4_h5,6580,1
s1_f5,6580,1
s2_f5,6580,1
s3_f5,6580,1
s4_f5,6580,1
s1_h1,6720,45
s2_h1,6720,46
s3_h1,6720,45
s4_h1,6720,45
s1_f1,6720,1
s2_f1,6720,1
s3_f1,6720,1
s4_f1,6720,1
s1_h2,6720,1
s2_h2,6720,1
s3_h2,6720,1
s4_h2,6720,1
s1_f2,6720,1
s2_f2,6720,1
s3_f2,6720,1
s4_f2,6720,1
s1_h3,6720,1
s2_h3,6720,1
s3_h3,6720,1
s4_h3,6720,1
s1_f3,6720,1
s2_f3,6720,1
s3_f3,6720,1
s4_f3,6720,1
s1_h4,6720,1
s2_h4,6720,1
s3_h4,6720,1
s4_h4,6720,1
s1_f4,6720,1
s2_f4,6720,1
s3_f4,6720,1
s4_f4,6720,1
s1_h5,6720,1
s2_h5,6720,1
s3_h5,6720,1
s4_h5,6720,1
s1_f5,6720,1
s2_f5,6720,1
s3_f5,6720,1
s4_f5,6720,1
s1_h1,6860,46
s2_h1,6860,47
s3_h1,6860,46
s4_h1,6860,46
s1_f1,6860,1
s2_f1,6860,1
s3_f1,6860,1
s4_f1,6860,1
s1_h2,6860,1
s2_h2,6860,1
s3_h2,6860,1
s4_h2,6860,1
s1_f2,6860,1
s2_f2,6860,1
s3_f2,6860,1
s4_f2,6860,1
s1_h3,6860,1
s2_h3,6860,1
s3_h3,6860,1
s4_h3,6860,1
s1_f3,6860,1
s2_f3,6860,1
s3_f3,6860,1
s4_f3,6860,1
s1_h4,6860,1
s2_h4,6860,1
s3_h4,6860,1
s4_h4,6860,1
s1_f4,6860,1
s2_f4,6860,1
s3_f4,6860,1
s4_f4,6860,1
s1_h5,6860,2
s2_h5,6860,2
s3_h5,6860,2
s4_h5,6860,2
s1_f5,6860,1
s2_f5,6860,1
s3_f5,6860,1
s4_f5,6860,1
s1_h1,7000,47
s2_h1,7000,48
s3_h1,7000,47
s4_h1,7000,47
s1_f1,7000,1
s2_f1,7000,1
s3_f1,7000,1
s4_f1,7000,1
s1_h2,7000,1
s2_h2,7000,1
s3_h2,7000,1
s4_h2,7000,1
s1_f2,7000,1
s2_f2,7000,1
s3_f2,7000,1
s4_f2,7000,1
s1_h3,7000,1
s2_h3,7000,1
s3_h3,7000,1
s4_h3,7000,1
s1_f3,7000,1
s2_f3,7000,1
s3_f3,7000,1
s4_f3,7000,1
s1_h4,7000,1
s2_h4,7000,1
s3_h4,7000,1
s4_h4,7000,1
s1_f4,7000,1
s2_f4,7000,1
s3_f4,7000,1
s4_f4,7000,1
s1_h5,7000,1
s2_h5,7000,1
s3_h5,7000,1
s4_h5,7000,1
s1_f5,7000,1
s2_f5,7000,1
s3_f5,7000,1
s4_f5,7000,1
s1_h1,7140,48
s2_h1,7140,49
s3_h1,7140,48
s4_h1,7140,48
s1_f1,7140,1
s2_f1,7140,1
s3_f1,7140,1
s4_f1,7140,1
s1_h2,7140,1
s2_h2,7140,1
s3_h2,7140,1
s4_h2,7140,1
s1_f2,7140,1
s2_f2,7140,1
s3_f2,7140,1
s4_f2,7140,1
s1_h3,7140,1
s2_h3,7140,1
s3_h3,7140,1
s4_h3,7140,1
s1_f3,7140,1
s2_f3,7140,1
s3_f3,7140,1
s4_f3,7140,1
s1_h4,7140,1
s2_h4,7140,1
s3_h4,7140,1
s4_h4,7140,1
s1_f4,7140,1
s2_f4,7140,1
s3_f4,7140,1
s4_f4,7140,1
s1_h5,7140,2
s2_h5,7140,2
s3_h5,7140,2
s4_h5,7140,2
s1_f5,7140,1
s2_f5,7140,1
s3_f5,7140,1
s4_f5,7140,1
s1_h1,7280,49
s2_h1,7280,50
s3_h1,7280,49
s4_h1,7280,49
s1_f1,7280,1
s2_f1,7280,1
s3_f1,7280,1
